RA,Dec,Distance,Name,Max
116.32470833333332,-71.41036111111111,80.8,SN2003gh,2003/06/30
9.636124999999998,-24.34263888888889,58.1,SN2003gi,2003/05/16
358.4749583333333,7.956583333333334,58.0,SN2003gl,2003/07/04
343.33616666666666,32.132666666666665,78.0,SN2003gq,2003/08/07
36.90983333333333,-1.1598333333333333,19.0,SN2003gs,2003/07/28
308.2463333333333,9.872027777777777,70.1209,SN2003gt,2003/08/10
42.24329166666666,3.1687777777777777,55.0,SN2003hm,2003/08/19
46.03883333333333,-26.085416666666667,20.7,SN2003hv,2003/09/09
86.69570833333333,-16.7835,31.826,SN2003hx,2003/09/10
87.03274999999998,46.25633333333333,90.0,SN2003hz,2003/09/12
49.96920833333333,-26.064027777777778,12.0,SN2003if,2003/09/19
88.92158333333333,85.90602777777778,82.58,SN2003ij,2003/09/24
11.246999999999998,-8.886527777777777,86.946,SN2003im,2003/09/29
53.88879166666666,5.064638888888889,96.025,SN2003in,2003/09/29
146.61945833333334,45.751305555555554,71.7,SN2003jz,2004/10/15
233.0079583333333,68.24330555555555,98.173,SN2003K,2003/01/23
91.14758333333332,-12.628555555555556,32.882,SN2003kf,2003/12/09
56.27362499999999,20.760916666666667,81.21,SN2003lb,2004/01/04
146.70616666666666,16.04377777777778,87.0,SN2003W,2003/02/09
133.64416666666665,57.17216666666666,75.94,SN2003Y,2003/02/08
199.24241666666666,-16.631305555555556,19.0,SN2004ab,2004/02/18
281.9319583333333,-63.1485,50.0,SN2004ac,2004/02/29
175.24099999999999,-22.481555555555556,100.0,SN2004av,2004/03/15
70.51962499999999,-7.202277777777778,71.7,SN2004B,2004/01/11
174.92575,31.90883333333333,41.0,SN2004bd,2004/04/06
170.25637499999996,21.33983333333333,98.0,SN2004bg,2004/04/14
183.80033333333333,-3.438416666666667,57.0,SN2004bl,2004/05/07
187.7825,0.6132222222222222,94.0,SN2004br,2004/05/26
306.27641666666665,-24.81491666666667,34.0,SN2004bv,2004/06/08
225.94479166666665,-3.3045555555555555,95.3306,SN2004bw,2004/06/06
325.88683333333324,43.692499999999995,79.937,SN2004ca,2004/06/12
205.95216666666664,-29.74977777777778,61.582,SN2004cb,2004/05/11
232.83233333333334,40.28113888888889,99.0,SN2004cq,2004/05/23
